
==================== [생태하천과] (총 39개 행) ====================
  idx= 5292 | 본예산      | 세부: 기본경비(생태하천과)               | 목: 사무관리비           | 근거:   ο장비유지                        | 식: 3,000,000원                | 3,000.000000천원
  idx= 5293 | 본예산      | 세부: 기본경비(생태하천과)               | 목: 사무관리비           | 근거: Ο홍보물 및 일간지 구독료                 | 식: 90,000원*12월               | 1,080.000000천원
  idx= 5294 | 본예산      | 세부: 기본경비(생태하천과)               | 목: 국내여비            | 근거: Ο기본업무추진                        | 식: 10,000원*11명*6일*12월        | 7,920.000000천원
  idx= 5295 | 본예산      | 세부: 기본경비(생태하천과)               | 목: 부서운영업무추진비       | 근거: Ο15인 이하                        | 식: 250,000원*12월              | 3,000.000000천원
  idx= 5296 | 본예산      | 세부: 기본경비(생태하천과)               | 목: 직책급업무수행경비       | 근거: Ο5급                            | 식: 100,000원*1명*12월           | 1,200.000000천원

==================== [자원순환과] (총 106개 행) ====================
  idx= 5779 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 사무관리비           | 근거: Ο종량제 봉투 제작                     | 식: 1,909,652,000원            | 1,909,652.000000천원
  idx= 5780 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 사무관리비           | 근거: Ο종량제 봉투 신용카드 결제 대행수수료          | 식: 18,500,000원*12월           | 222,000.000000천원
  idx= 5781 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 사무관리비           | 근거: Ο불연성폐기물 마대 제작                  | 식: 400원*240,000매             | 96,000.000000천원
  idx= 5782 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 사무관리비           | 근거: Ο청소시책 추진관련 홍보물 제작              | 식: 2,700,000원                | 2,700.000000천원
  idx= 5783 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 사무관리비           | 근거: Ο종량제 봉투 창고 무인경비 시스템 관리수수료      | 식: 1,700,000원                | 1,700.000000천원
  idx= 5784 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 사무관리비           | 근거: Ο대형폐기물 스티커 제작                  | 식: 78,800,000원               | 78,800.000000천원
  idx= 5785 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 사무관리비           | 근거: Ο대형폐기물 결제 대행수수료                | 식: 7,500,000원*12월            | 90,000.000000천원
  idx= 5786 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 사무관리비           | 근거: Ο위원회 수당                        | 식: 100,000원*5명*1회            |   500.000000천원
  idx= 5787 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 공공운영비           | 근거: Ο한국폐기물협회 연회비                   | 식: 4,000,000원                | 4,000.000000천원
  idx= 5788 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 공공운영비           | 근거: Ο종량제봉투 창고 CCTV 요금              | 식: 748,000원                  |   748.000000천원
  idx= 5789 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 시책추진업무추진비       | 근거: Ο생활폐기물 및 청소관리 업무추진             | 식: 2,700,000원                | 2,700.000000천원
  idx= 5790 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο종량제 물품 위탁판매(경상)               | 식: 605,197,000원              | 605,197.000000천원
  idx= 5791 | 본예산      | 세부: 생활폐기물 청소관리                | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο종량제 물품 위탁판매 대행수수료             | 식: 30,259,850원               | 30,260.000000천원
