=== [민생경제과] 시스템: 45,194,563천원 | PDF목표: 33,194,563천원 | 차액: +12,000,000천원 ===
      예산구분                         세부사업명             통계목명                          산출근거명                       산출근거식   예산액_num       정산 상태
3726  추경1회  용인중앙시장 제2공영주차장 철거 및 임시주차장 조성              감리비         Ο용인중앙시장 제2공영주차장 철거 감리비                 95,000,000원     95000     ✅ 정산 포함
3727  추경1회   경기시장·골목상권 매니저 지원사업(경기도직접지원)         민간경상사업보조             Ο전통시장 및 상점가 매니저 지원                149,850,000원    149850     ✅ 정산 포함
3728  추경1회   경기시장·골목상권 매니저 지원사업(경기도직접지원)         민간경상사업보조                Ο소상공인연합회 매니저 지원                 44,550,000원     44550     ✅ 정산 포함
3729  추경2회                고유가 피해지원금 발행비용            사무관리비           Ο고유가 피해지원금 발행비용(성립전)                241,150,000원    241150     ✅ 정산 포함
3730   본예산                      사회적기업 일반            사무관리비              Ο사회적경제관련 위원회 참석수당                  2,500,000원      2500     ✅ 정산 포함
3731   본예산                      사회적기업 일반            사무관리비            Ο기흥역사 사회적경제 홍보관 임차료                  2,500,000원      2500     ✅ 정산 포함
3732   본예산                      사회적기업 일반            사무관리비               Ο사회적경제 창업보육실 임차료              1,100,000원*12월     13200     ✅ 정산 포함
3733   본예산                 사회적경제 지원센터 운영            민간위탁금                  Ο사회적경제지원센터 운영                508,511,000원    508511     ✅ 정산 포함
3734   본예산                사회적경제 지역활성화 사업            민간위탁금                Ο사회적경제 지역활성화 사업                 34,400,000원     34400  🔄 경정 대체 제외
3735  추경1회                사회적경제 지역활성화 사업            민간위탁금                Ο사회적경제 지역활성화 사업              경정 34,600,000원     34600     ✅ 정산 포함
3736   본예산                사회적기업 사회보험료 지원         민간경상사업보조              Ο사회적기업 사회보험료 지원사업                 51,000,000원     51000  🔄 경정 대체 제외
3737  추경1회                사회적기업 사회보험료 지원         민간경상사업보조              Ο사회적기업 사회보험료 지원사업              경정 70,380,000원     70380     ✅ 정산 포함
3738   본예산                 사회적경제 창업지원 사업            민간위탁금             Ο사회적경제 시·군 창업지원 사업                 23,000,000원     23000     ✅ 정산 포함
3739   본예산            사회적경제  시·군 판로지원 사업            민간위탁금             Ο사회적경제 시·군 판로지원 사업                 40,000,000원     40000     ✅ 정산 포함
3740   본예산                   공정무역 활성화 지원            사무관리비                  Ο공정무역위원회 참석수당              100,000원*4명*1회       400     ✅ 정산 포함
