=== [민생경제과] 시스템: 45,194,563천원 | PDF목표: 33,194,563천원 | 차액: +12,000,000천원 ===
      예산구분                         세부사업명             통계목명                          산출근거명                       산출근거식   예산액_num       정산 상태
1232   본예산                     인력운영비(총괄)              보수                             ο업무대행수당                    200,000원*15명*12월      36000  🔻 소계 중복 제외
1233   본예산                     인력운영비(총괄)              보수                              Ο정액급식비                 160,000원*3,443명*12월    6610560     ✅ 정산 포함
1234   본예산                     인력운영비(총괄)              보수                              Ο명절휴가비         125,115,526,800원/12월*2회*60%   12511553     ✅ 정산 포함
1235   본예산                     인력운영비(총괄)              보수                              Ο연가보상비   147,247,638,800원/12월*1/30*10일*86%    3517583     ✅ 정산 포함
1236   본예산                     인력운영비(총괄)              보수                              Ο직급보조비                                   -    8716920     ✅ 정산 포함
1237   본예산                     인력운영비(총괄)              보수                                 ο시장                     750,000원*1명*12월       9000  🔻 소계 중복 제외
1238   본예산                     인력운영비(총괄)              보수                                ο부시장                     650,000원*2명*12월      15600  🔻 소계 중복 제외
1239   본예산                     인력운영비(총괄)              보수                                 ο3급                     500,000원*3명*12월      18000  🔻 소계 중복 제외
1240   본예산                     인력운영비(총괄)              보수                                 ο4급                    400,000원*33명*12월     158400  🔻 소계 중복 제외
1241   본예산                     인력운영비(총괄)              보수                                 ο5급                   250,000원*174명*12월     522000  🔻 소계 중복 제외
1242   본예산                     인력운영비(총괄)              보수                                 ο6급                   210,000원*891명*12월    2245320  🔻 소계 중복 제외
1243   본예산                     인력운영비(총괄)              보수                                 ο7급                 205,000원*1,050명*12월    2583000  🔻 소계 중복 제외
1244   본예산                     인력운영비(총괄)              보수                               ο8,9급                 200,000원*1,289명*12월    3093600  🔻 소계 중복 제외
1245   본예산                     인력운영비(총괄)              보수                        ο중앙행정기관 파견수당                     300,000원*5명*12월      18000  🔻 소계 중복 제외
1246   본예산                     인력운영비(총괄)              보수                    ο지방자치단체 파견수당(5급)                     200,000원*1명*12월       2400  🔻 소계 중복 제외
1247   본예산                     인력운영비(총괄)              보수                  ο지방자치단체 파견수당(6급이하)                    100,000원*13명*12월      15600  🔻 소계 중복 제외
1248   본예산                     인력운영비(총괄)              보수                 ο지방자치단체 파견수당(교류지원비)                     600,000원*5명*12월      36000  🔻 소계 중복 제외
1249   본예산                     인력운영비(총괄)           기타직보수                       Ο전문임기제 공무원 보수                                   -     251555     ✅ 정산 포함
1250   본예산                     인력운영비(총괄)           기타직보수                           ο전문임기제 연봉                                   -     223260  🔻 소계 중복 제외
1251   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ나급                   6,201,640원*3명*12월     223260  🔻 소계 중복 제외
1252   본예산                     인력운영비(총괄)           기타직보수                               ο가족수당                                   -       3360  🔻 소계 중복 제외
1253   본예산                     인력운영비(총괄)           기타직보수                     ㆍ배우자, 자녀 및 기타가족                          3,360,000원       3360  🔻 소계 중복 제외
1254   본예산                     인력운영비(총괄)           기타직보수                              ο시간외수당                 15,510원*3명*11시간*12월       6142  🔻 소계 중복 제외
1255   본예산                     인력운영비(총괄)           기타직보수                              ο정액급식비                     160,000원*3명*12월       5760  🔻 소계 중복 제외
1256   본예산                     인력운영비(총괄)           기타직보수                              ο직급보조비                                   -       9000  🔻 소계 중복 제외
1257   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ나급                     250,000원*3명*12월       9000  🔻 소계 중복 제외
1258   본예산                     인력운영비(총괄)           기타직보수                              ο연가보상비    223,259,040원/12월*1/30*9일*84%*86%       4033  🔻 소계 중복 제외
1259   본예산                     인력운영비(총괄)           기타직보수                    Ο시간선택제임기제 공무원 보수                                   -   12002936     ✅ 정산 포함
1260   본예산                     인력운영비(총괄)           기타직보수                        ο시간선택제임기제 연봉                                   -    9173075  🔻 소계 중복 제외
1261   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ가급                  6,074,190원*14명*12월    1020464  🔻 소계 중복 제외
1262   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ나급                   4,691,250원*9명*12월     506655  🔻 소계 중복 제외
1263   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ다급                  3,881,770원*31명*12월    1444019  🔻 소계 중복 제외
1264   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ라급                  3,439,420원*40명*12월    1650922  🔻 소계 중복 제외
1265   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ마급                 2,462,670원*154명*12월    4551015  🔻 소계 중복 제외
1266   본예산                     인력운영비(총괄)           기타직보수                               ο가족수당                                   -     122400  🔻 소계 중복 제외
1267   본예산                     인력운영비(총괄)           기타직보수                                ㆍ배우자                    40,000원*106명*12월      50880  🔻 소계 중복 제외
1268   본예산                     인력운영비(총괄)           기타직보수                               ㆍ첫째자녀                     50,000원*44명*12월      26400  🔻 소계 중복 제외
1269   본예산                     인력운영비(총괄)           기타직보수                               ㆍ둘째자녀                     80,000원*34명*12월      32640  🔻 소계 중복 제외
1270   본예산                     인력운영비(총괄)           기타직보수                               ㆍ셋째자녀                     120,000원*5명*12월       7200  🔻 소계 중복 제외
1271   본예산                     인력운영비(총괄)           기타직보수                               ㆍ기타가족                     20,000원*22명*12월       5280  🔻 소계 중복 제외
1272   본예산                     인력운영비(총괄)           기타직보수                              ο시간외수당                                   -     995393  🔻 소계 중복 제외
1273   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ가급                15,510원*14명*30시간*12월      78171  🔻 소계 중복 제외
1274   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ나급                 13,229원*9명*30시간*12월      42862  🔻 소계 중복 제외
1275   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ다급                11,950원*31명*30시간*12월     133362  🔻 소계 중복 제외
1276   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ라급                10,729원*40명*30시간*12월     154498  🔻 소계 중복 제외
1277   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ마급               10,579원*154명*30시간*12월     586500  🔻 소계 중복 제외
1278   본예산                     인력운영비(총괄)           기타직보수                             ο특수업무수당                                   -     583591  🔻 소계 중복 제외
1279   본예산                     인력운영비(총괄)           기타직보수                             ㆍ의료업무수당                                   -     143283  🔻 소계 중복 제외
1280   본예산                     인력운영비(총괄)           기타직보수                          －가급(5년 이상)             1,312,000원*35/40*8명*12월     110208  🔻 소계 중복 제외
1281   본예산                     인력운영비(총괄)           기타직보수                          －가급(3년 이상)             1,300,000원*35/40*1명*12월      13650  🔻 소계 중복 제외
1282   본예산                     인력운영비(총괄)           기타직보수                         －마급(의료기사 등)               50,000원*35/40*37명*12월      19425  🔻 소계 중복 제외
1283   본예산                     인력운영비(총괄)           기타직보수                      ㆍ특수직무수당(시간선택제)         9,173,075,000원*40/35*5%*84%     440308  🔻 소계 중복 제외
1284   본예산                     인력운영비(총괄)           기타직보수                              ο정액급식비                   160,000원*248명*12월     476160  🔻 소계 중복 제외
1285   본예산                     인력운영비(총괄)           기타직보수                              ο직급보조비                                   -     560280  🔻 소계 중복 제외
1286   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ가급              400,000원*35/40*14명*12월      58800  🔻 소계 중복 제외
1287   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ나급               250,000원*35/40*9명*12월      23625  🔻 소계 중복 제외
1288   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ다급              210,000원*35/40*31명*12월      68355  🔻 소계 중복 제외
1289   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ라급              205,000원*35/40*40명*12월      86100  🔻 소계 중복 제외
1290   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ마급             200,000원*35/40*154명*12월     323400  🔻 소계 중복 제외
1291   본예산                     인력운영비(총괄)           기타직보수                              ο연가보상비  764,422,760원*1/30*1/7*35시간*84%*86%      92037  🔻 소계 중복 제외
1292   본예산                     인력운영비(총괄)           기타직보수                        Ο한시임기제공무원 보수                                   -     368574     ✅ 정산 포함
1293   본예산                     인력운영비(총괄)           기타직보수                        ο한시임기제공무원 연봉                                   -     281106  🔻 소계 중복 제외
1294   본예산                     인력운영비(총괄)           기타직보수                              ㆍ한시임기제                                   -     281106  🔻 소계 중복 제외
1295   본예산                     인력운영비(총괄)           기타직보수                           －휴직자 대체인력            2,231,000원*35/40*12명*12월     281106  🔻 소계 중복 제외
1296   본예산                     인력운영비(총괄)           기타직보수                               ο가족수당                                   -       8760  🔻 소계 중복 제외
1297   본예산                     인력운영비(총괄)           기타직보수                                ㆍ배우자                      40,000원*6명*12월       2880  🔻 소계 중복 제외
1298   본예산                     인력운영비(총괄)           기타직보수                               ㆍ첫째자녀                      50,000원*5명*12월       3000  🔻 소계 중복 제외
1299   본예산                     인력운영비(총괄)           기타직보수                               ㆍ둘째자녀                      80,000원*2명*12월       1920  🔻 소계 중복 제외
1300   본예산                     인력운영비(총괄)           기타직보수                               ㆍ기타가족                      20,000원*4명*12월        960  🔻 소계 중복 제외
1301   본예산                     인력운영비(총괄)           기타직보수                              ο시간외수당                10,579원*20시간*12명*12월      30468  🔻 소계 중복 제외
1302   본예산                     인력운영비(총괄)           기타직보수                              ο정액급식비                    160,000원*12명*12월      23040  🔻 소계 중복 제외
1303   본예산                     인력운영비(총괄)           기타직보수                              ο직급보조비              200,000원*35/40*12명*12월      25200  🔻 소계 중복 제외
1304   본예산                     인력운영비(총괄)           기타직보수                            Ο수습직원 보수                                   -     250733     ✅ 정산 포함
1305   본예산                     인력운영비(총괄)           기타직보수                                ο기본급                   2,000,900원*15명*6월     180081  🔻 소계 중복 제외
1306   본예산                     인력운영비(총괄)           기타직보수                               ο가족수당                      20,000원*10명*6월       1200  🔻 소계 중복 제외
1307   본예산                     인력운영비(총괄)           기타직보수                              ο시간외수당                 10,579원*15명*20시간*6월      19043  🔻 소계 중복 제외
1308   본예산                     인력운영비(총괄)           기타직보수                              ο정액급식비                     160,000원*15명*6월      14400  🔻 소계 중복 제외
1309   본예산                     인력운영비(총괄)           기타직보수                              ο직급보조비                     200,000원*15명*6월      18000  🔻 소계 중복 제외
1310   본예산                     인력운영비(총괄)           기타직보수                              ο명절휴가비               2,000,900원*15명*1회*60%      18009  🔻 소계 중복 제외
1311   본예산                     인력운영비(총괄)           기타직보수                            Ο청원경찰 보수                                   -    1629988     ✅ 정산 포함
1312   본예산                     인력운영비(총괄)           기타직보수                                ο기본급                  3,607,600원*27명*12월    1168863  🔻 소계 중복 제외
1313   본예산                     인력운영비(총괄)           기타직보수                               ο정근수당               3,607,600원*45%*27명*2회      87665  🔻 소계 중복 제외
1314   본예산                     인력운영비(총괄)           기타직보수                              ο시간외수당                                   -      57493  🔻 소계 중복 제외
1315   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ경위                 13,313원*5명*15시간*12월      11982  🔻 소계 중복 제외
1316   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ경사                 12,497원*9명*15시간*12월      20246  🔻 소계 중복 제외
1317   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ순경                10,797원*13명*15시간*12월      25265  🔻 소계 중복 제외
1318   본예산                     인력운영비(총괄)           기타직보수                               ο가족수당                                   -      18720  🔻 소계 중복 제외
1319   본예산                     인력운영비(총괄)           기타직보수                                ㆍ배우자                     40,000원*16명*12월       7680  🔻 소계 중복 제외
1320   본예산                     인력운영비(총괄)           기타직보수                               ㆍ첫째자녀                      50,000원*8명*12월       4800  🔻 소계 중복 제외
1321   본예산                     인력운영비(총괄)           기타직보수                               ㆍ둘째자녀                      80,000원*4명*12월       3840  🔻 소계 중복 제외
1322   본예산                     인력운영비(총괄)           기타직보수                               ㆍ기타가족                     20,000원*10명*12월       2400  🔻 소계 중복 제외
1323   본예산                     인력운영비(총괄)           기타직보수                 ο정근수당가산금(추가 가산금 포함)                                   -      26280  🔻 소계 중복 제외
1324   본예산                     인력운영비(총괄)           기타직보수                             ㆍ25년 이상                     130,000원*7명*12월      10920  🔻 소계 중복 제외
1325   본예산                     인력운영비(총괄)           기타직보수                          ㆍ20~25년 미만                     110,000원*8명*12월      10560  🔻 소계 중복 제외
1326   본예산                     인력운영비(총괄)           기타직보수                             ㆍ10년 미만                      50,000원*2명*12월       1200  🔻 소계 중복 제외
1327   본예산                     인력운영비(총괄)           기타직보수                              ㆍ5년 미만                     30,000원*10명*12월       3600  🔻 소계 중복 제외
1328   본예산                     인력운영비(총괄)           기타직보수                              ο직급보조비                                   -      65940  🔻 소계 중복 제외
1329   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ경위                     210,000원*5명*12월      12600  🔻 소계 중복 제외
1330   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ경사                     205,000원*9명*12월      22140  🔻 소계 중복 제외
1331   본예산                     인력운영비(총괄)           기타직보수                                 ㆍ순경                    200,000원*13명*12월      31200  🔻 소계 중복 제외
1332   본예산                     인력운영비(총괄)           기타직보수                              ο정액급식비                    160,000원*27명*12월      51840  🔻 소계 중복 제외
1333   본예산                     인력운영비(총괄)           기타직보수                              ο명절휴가비               3,607,600원*60%*27명*2회     116887  🔻 소계 중복 제외
1334   본예산                     인력운영비(총괄)           기타직보수                              ο연가보상비         3,607,600원*86%*27명*1/30*13일      36300  🔻 소계 중복 제외
1335   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              Ο행정사무원                                   -    7715480     ✅ 정산 포함
1336   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                 2,985,850원*166명*12월    5947814  🔻 소계 중복 제외
1337   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비              2,985,850원*60%*166명*2회     594782  🔻 소계 중복 제외
1338   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                   160,000원*166명*12월     318720  🔻 소계 중복 제외
1339   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                   112,720원*145명*10일     163444  🔻 소계 중복 제외
1340   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                    80,000원*145명*12월     139200  🔻 소계 중복 제외
1341   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ο특수근무수당                    30,000원*110명*12월      39600  🔻 소계 중복 제외
1342   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                21,130원*80명*25시간*12월     507120  🔻 소계 중복 제외
1343   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο직책수당                     200,000원*2명*12월       4800  🔻 소계 중복 제외
1344   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ΟCCTV관제                                   -    1316950     ✅ 정산 포함
1345   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                  2,279,220원*32명*12월     875221  🔻 소계 중복 제외
1346   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비               2,279,220원*60%*32명*2회      87523  🔻 소계 중복 제외
1347   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                    160,000원*32명*12월      61440  🔻 소계 중복 제외
1348   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                     87,010원*32명*10일      27844  🔻 소계 중복 제외
1349   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                     60,000원*20명*12월      14400  🔻 소계 중복 제외
1350   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                18,640원*32명*35시간*12월     250522  🔻 소계 중복 제외
1351   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수        Ο청사관리 등(청사관리원,경비원,시설장비유지관리원)                                   -    6232226     ✅ 정산 포함
1352   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                 2,658,850원*156명*12월    4977368  🔻 소계 중복 제외
1353   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비              2,658,850원*60%*156명*2회     497737  🔻 소계 중복 제외
1354   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                   160,000원*156명*12월     299520  🔻 소계 중복 제외
1355   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                   100,880원*156명*10일     157373  🔻 소계 중복 제외
1356   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                    60,000원*100명*12월      72000  🔻 소계 중복 제외
1357   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ο특수근무수당                     30,000원*50명*12월      18000  🔻 소계 중복 제외
1358   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                18,910원*60명*15시간*12월     204228  🔻 소계 중복 제외
1359   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο반장수당                     50,000원*10명*12월       6000  🔻 소계 중복 제외
1360   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                        Ο청사관리원(25시간)                                   -     120403     ✅ 정산 포함
1361   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                   1,682,770원*4명*12월      80773  🔻 소계 중복 제외
1362   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비                1,682,770원*60%*4명*2회       8078  🔻 소계 중복 제외
1363   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                     160,000원*4명*12월       7680  🔻 소계 중복 제외
1364   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                      65,450원*4명*10일       2618  🔻 소계 중복 제외
1365   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                      60,000원*4명*12월       2880  🔻 소계 중복 제외
1366   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                 19,630원*3명*26시간*12월      18374  🔻 소계 중복 제외
1367   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수             Ο도로보수 등(도로보수원, 교통시설관리원)                                   -    1408186     ✅ 정산 포함
1368   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                  3,630,530원*22명*12월     958460  🔻 소계 중복 제외
1369   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비               3,630,530원*60%*22명*2회      95846  🔻 소계 중복 제외
1370   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                    160,000원*22명*12월      42240  🔻 소계 중복 제외
1371   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                    137,040원*22명*15일      45224  🔻 소계 중복 제외
1372   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                     80,000원*22명*12월      21120  🔻 소계 중복 제외
1373   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ο특수근무수당                     30,000원*22명*12월       7920  🔻 소계 중복 제외
1374   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                25,690원*22명*35시간*12월     237376  🔻 소계 중복 제외
1375   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              Ο시설관리원                                   -    2256241     ✅ 정산 포함
1376   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                  3,354,420원*38명*12월    1529616  🔻 소계 중복 제외
1377   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비               3,354,420원*60%*38명*2회     152962  🔻 소계 중복 제외
1378   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                    160,000원*38명*12월      72960  🔻 소계 중복 제외
1379   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                    126,080원*35명*10일      44128  🔻 소계 중복 제외
1380   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                     80,000원*35명*12월      33600  🔻 소계 중복 제외
1381   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ο특수근무수당                     30,000원*38명*12월      13680  🔻 소계 중복 제외
1382   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                23,640원*38명*37시간*12월     398855  🔻 소계 중복 제외
1383   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                           ο직책수당(소장)                     120,000원*1명*12월       1440  🔻 소계 중복 제외
1384   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο반장수당                      80,000원*3명*12월       2880  🔻 소계 중복 제외
1385   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο선임수당                     30,000원*17명*12월       6120  🔻 소계 중복 제외
1386   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수        Ο공원관리 등(환경감시원, 조경시설관리원, 조리원)                                   -    1128630     ✅ 정산 포함
1387   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                  2,897,610원*25명*12월     869283  🔻 소계 중복 제외
1388   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비               2,897,610원*60%*25명*2회      86929  🔻 소계 중복 제외
1389   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                    160,000원*25명*12월      48000  🔻 소계 중복 제외
1390   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                    109,520원*23명*10일      25190  🔻 소계 중복 제외
1391   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                     80,000원*23명*12월      22080  🔻 소계 중복 제외
1392   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ο특수근무수당                      30,000원*9명*12월       3240  🔻 소계 중복 제외
1393   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                20,530원*12명*25시간*12월      73908  🔻 소계 중복 제외
1394   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수  Ο분석원 등(분석원, 시설장비유지관리원-테마파크, 교통단속원)                                   -     884627     ✅ 정산 포함
1395   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                  3,073,680원*17명*12월     627031  🔻 소계 중복 제외
1396   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비               3,073,680원*60%*17명*2회      62704  🔻 소계 중복 제외
1397   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                    160,000원*17명*12월      32640  🔻 소계 중복 제외
1398   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                    116,880원*17명*10일      19870  🔻 소계 중복 제외
1399   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                    120,000원*17명*12월      24480  🔻 소계 중복 제외
1400   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ο특수근무수당                     30,000원*12명*12월       4320  🔻 소계 중복 제외
1401   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                21,910원*12명*36시간*12월     113582  🔻 소계 중복 제외
1402   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              Ο사양관리원                                   -     367067     ✅ 정산 포함
1403   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                   2,968,770원*7명*12월     249377  🔻 소계 중복 제외
1404   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비                2,968,770원*60%*7명*2회      24938  🔻 소계 중복 제외
1405   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                     160,000원*7명*12월      13440  🔻 소계 중복 제외
1406   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                     113,040원*7명*10일       7913  🔻 소계 중복 제외
1407   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                      80,000원*5명*12월       4800  🔻 소계 중복 제외
1408   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ο특수근무수당                      30,000원*7명*12월       2520  🔻 소계 중복 제외
1409   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                 21,190원*7명*36시간*12월      64079  🔻 소계 중복 제외
1410   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              Ο보건의료원                                   -     596612     ✅ 정산 포함
1411   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                  2,773,590원*14명*12월     465964  🔻 소계 중복 제외
1412   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비               2,773,590원*60%*14명*2회      46597  🔻 소계 중복 제외
1413   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                    160,000원*14명*12월      26880  🔻 소계 중복 제외
1414   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                    106,000원*14명*10일      14840  🔻 소계 중복 제외
1415   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                    120,000원*10명*12월      14400  🔻 소계 중복 제외
1416   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ο특수근무수당                     30,000원*14명*12월       5040  🔻 소계 중복 제외
1417   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                 19,870원*8명*12시간*12월      22891  🔻 소계 중복 제외
1418   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              Ο산림교육사                                   -     395146     ✅ 정산 포함
1419   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급                   2,677,590원*9명*12월     289180  🔻 소계 중복 제외
1420   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο명절휴가비                2,677,590원*60%*9명*2회      28918  🔻 소계 중복 제외
1421   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο정액급식비                     160,000원*9명*12월      17280  🔻 소계 중복 제외
1422   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                              ο연가보상비                     102,560원*9명*10일       9231  🔻 소계 중복 제외
1423   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                               ο가족수당                      80,000원*6명*12월       5760  🔻 소계 중복 제외
1424   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                             ο특수근무수당                      30,000원*9명*12월       3240  🔻 소계 중복 제외
1425   본예산                     인력운영비(총괄)  공무직(무기계약)근로자보수                            ο시간외근무수당                 19,230원*9명*20시간*12월      41537  🔻 소계 중복 제외
1426  추경1회                     인력운영비(총괄)  공무직(무기계약)근로자보수             Ο도로보수 등(도로보수원, 교통시설관리원)                                   -    1408186     ✅ 정산 포함
1427  추경1회                     인력운영비(총괄)  공무직(무기계약)근로자보수                                ο기본급               경정 3,630,530원*22명*12월     958460  🔻 소계 중복 제외
1428   본예산          치매관리체계 구축(치매안심센터 운영)           기타직보수                      Ο치매안심센터 운영 인건비                      2,099,131,000원    2099131     ✅ 정산 포함
1429   본예산         국가 예방접종(예방접종 등록센터 운영)           기타직보수                 Ο예방접종 등록센터 운영요원 인건비                      22,998,000원*2명      45996  🔄 경정 대체 제외
1430  추경1회         국가 예방접종(예방접종 등록센터 운영)           기타직보수                 Ο예방접종 등록센터 운영요원 인건비                   경정 20,536,000원*2명      41072     ✅ 정산 포함
1431   본예산  취약계층 아동통합서비스 지원(아동보호전담요원 충원)           기타직보수                       Ο아동보호전담요원 인건비                        201,490,000원     201490     ✅ 정산 포함
1432   본예산                   군소음 보상업무 지원              보수                  Ο군소음 보상업무 담당공무원 급여                         45,430,000원      45430     ✅ 정산 포함
1433  추경1회              의료요양돌봄 통합지원(인건비)           기타직보수                   Ο의료요양돌봄 통합지원(인건비)                     16,500,000원*23명     379500     ✅ 정산 포함
1434   본예산                     기본경비(회계과)           사무관리비                              Ο일반수용비                 60,000원*26명*12월*90%      16848     ✅ 정산 포함
1435   본예산                     기본경비(회계과)           사무관리비                                Ο급식비                   9,000원*26명*6일*12월      16848     ✅ 정산 포함
