
==================== [복지정책과] (총 169개 행) ====================
  idx= 2805 | 본예산      | 세부: 경기도 참전명예수당                | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο경기도 참전명예수당                    | 식: 2,572,560,000원            | 2,572,560.000000천원
  idx= 2806 | 추경1회     | 세부: 경기도 참전명예수당                | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο경기도 참전명예수당                    | 식: 경정 2,858,400,000원         | 2,858,400.000000천원
  idx= 2807 | 추경2회     | 세부: 경기도 참전명예수당                | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο경기도 참전명예수당(성립전)               | 식: 경정 2,893,600,000원         | 2,893,600.000000천원
  idx= 2808 | 본예산      | 세부: 독립유공자 의료비 지원              | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο독립유공자 의료비 지원                  | 식: 137,725,000원              | 137,725.000000천원
  idx= 2809 | 본예산      | 세부: 국가유공자 생활보조보훈수당            | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο국가유공자 생활보조보훈수당                | 식: 304,846,000원              | 304,846.000000천원
  idx= 2810 | 추경1회     | 세부: 독립유공자 묘지관리 등 지원           | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο독립유공자 묘지관리 등 지원               | 식: 6,000,000원                | 6,000.000000천원
  idx= 2811 | 본예산      | 세부: 5.18민주유공자 생활지원보훈수당        | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο5.18민주유공자 생활지원보훈수당            | 식: 2,400,000원                | 2,400.000000천원
  idx= 2812 | 본예산      | 세부: 현충시설 관리                   | 목: 기간제근로자등보수       | 근거: Ο현충탑 관리원 인건비                   | 식: 95,440원*2명*230일           | 43,903.000000천원
  idx= 2813 | 본예산      | 세부: 현충시설 관리                   | 목: 기간제근로자등보수       | 근거: Ο안전보호구 구입비                     | 식: 50,000원*2명*2회             |   200.000000천원
  idx= 2814 | 본예산      | 세부: 현충시설 관리                   | 목: 기간제근로자등보수       | 근거: Ο피복비                           | 식: 100,000원*2명               |   200.000000천원
  idx= 2815 | 본예산      | 세부: 현충시설 관리                   | 목: 기간제근로자등보수       | 근거: Ο현충탑 관리원 4대 보험                 | 식: nan                       | 5,028.000000천원
  idx= 2816 | 본예산      | 세부: 현충시설 관리                   | 목: 기간제근로자등보수       | 근거:   ο건강보험                        | 식: 21,951,200원*2명*3.595%*112.95% | 1,783.000000천원
  idx= 2817 | 본예산      | 세부: 현충시설 관리                   | 목: 기간제근로자등보수       | 근거:   ο국민연금                        | 식: 21,951,200원*2명*4.75%      | 2,086.000000천원
  idx= 2818 | 본예산      | 세부: 현충시설 관리                   | 목: 기간제근로자등보수       | 근거:   ο고용보험                        | 식: 21,951,200원*2명*1.75%      |   769.000000천원
  idx= 2819 | 본예산      | 세부: 현충시설 관리                   | 목: 기간제근로자등보수       | 근거:   ο산재보험                        | 식: 21,951,200원*2명*0.888%     |   390.000000천원
  idx= 2820 | 본예산      | 세부: 현충시설 관리                   | 목: 사무관리비           | 근거: Ο현충시설 및 보훈회관 유지관리              | 식: 19,000,000원               | 19,000.000000천원
  idx= 2821 | 본예산      | 세부: 현충시설 관리                   | 목: 공공운영비           | 근거: Ο현충시설 전기료                      | 식: 90,000원*12월               | 1,080.000000천원
  idx= 2822 | 본예산      | 세부: 현충시설 관리                   | 목: 공공운영비           | 근거: Ο현충시설 장비유지                     | 식: 4,000,000원                | 4,000.000000천원
  idx= 2823 | 본예산      | 세부: 현충시설 관리                   | 목: 시설비             | 근거: Ο현충시설 및 보훈시설 수선 등              | 식: 55,000,000원               | 55,000.000000천원
  idx= 2824 | 본예산      | 세부: 호국보훈행사 추진                 | 목: 사무관리비           | 근거: Ο국가유공자 홍보물 제작 및 행사용품 구입        | 식: 2,000,000원                | 2,000.000000천원
  idx= 2825 | 본예산      | 세부: 호국보훈행사 추진                 | 목: 행사운영비           | 근거: Ο현충일 추념식                       | 식: 17,000,000원               | 17,000.000000천원
  idx= 2826 | 본예산      | 세부: 호국보훈행사 추진                 | 목: 행사운영비           | 근거: Ο튀르키예군 한국전 참전 기념행사             | 식: 2,100,000원                | 2,100.000000천원
  idx= 2827 | 본예산      | 세부: 호국보훈행사 추진                 | 목: 행사운영비           | 근거: Ο보훈가족 음악회                      | 식: 5,000,000원                | 5,000.000000천원
  idx= 2828 | 본예산      | 세부: 호국보훈행사 추진                 | 목: 행사실비지원금         | 근거: Ο현충일 추념식 참석자 급식비               | 식: 9,000원*1,200명             | 10,800.000000천원
  idx= 2829 | 추경1회     | 세부: 보훈단체 복지지원                 | 목: 민간경상사업보조        | 근거: Ο보훈단체 복지지원                     | 식: 36,000,000원               | 36,000.000000천원
  idx= 2830 | 본예산      | 세부: 생계급여                      | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο기초생활보장 생계급여                   | 식: 67,742,000,000원           | 67,742,000.000000천원
  idx= 2831 | 본예산      | 세부: 해산장제급여                    | 목: 사회보장적수혜금(국고보조재원) | 근거: Ο기초생활보장 해산장제급여                 | 식: 516,800,000원              | 516,800.000000천원
