회계연도,예산구분,분야명,부문명,위원회명,정책사업명,단위사업명,회계코드,회계명,세부사업명,자체보조구분명,부서명,편성목,편성목명,통계목,통계목명,의무/재량구분,산출근거명,산출근거식,예산액,기정액,비교증감,국고보조금,Unnamed: 23,Unnamed: 24,균특보조금,Unnamed: 26,Unnamed: 27,기금보조금,Unnamed: 29,Unnamed: 30,특별교부세,Unnamed: 32,Unnamed: 33,분권교부세,Unnamed: 35,Unnamed: 36,광역보조금,Unnamed: 38,Unnamed: 39,재정보전금,Unnamed: 41,Unnamed: 42,특별조정교부금,Unnamed: 44,Unnamed: 45,자체재원,Unnamed: 47,Unnamed: 48,지방채,Unnamed: 50,Unnamed: 51,기타,Unnamed: 53,Unnamed: 54,예산액_num,기정액_num,비교증감_num,국고보조금_num,균특보조금_num,기금보조금_num,특별교부세_num,광역보조금_num,특별조정교부금_num,자체재원_num,예산액_원,예산액_억원,기정액_억원,비교증감_억원
2026,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,민관협치 기반조성 추진,자체,시민소통관,201.0,일반운영비,201-03,행사운영비,재량,Ο협치 소통의 장,"14,000,000원","14,000",0,"14,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,000",0,"14,000",0,0,0,0,0,0,14000,0,14000,0,0,0,0,0,0,14000,14000000.0,0.14,0.0,0.14
2026,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,민관협치 기반조성 추진,자체,시민소통관,201.0,일반운영비,201-03,행사운영비,재량,Ο협치(소통) 강연,"11,700,000원","11,700",0,"11,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,700",0,"11,700",0,0,0,0,0,0,11700,0,11700,0,0,0,0,0,0,11700,11700000.0,0.117,0.0,0.117
2026,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,민관협치 기반조성 추진,자체,시민소통관,201.0,일반운영비,201-03,행사운영비,재량,Ο협치 포럼,"5,000,000원","5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000",0,"5,000",0,0,0,0,0,0,5000,0,5000,0,0,0,0,0,0,5000,5000000.0,0.05,0.0,0.05
2026,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,민관협치 기반조성 추진,자체,시민소통관,202.0,여비,202-01,국내여비,재량,Ο협치의견수렴 및 협치의제 발굴,"10,000원*2명*4일*12월",960,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,960,0,0,0,0,0,0,960,0,960,0,0,0,0,0,0,960,960000.0,0.0096,0.0,0.0096
2026,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100.0,일반회계,민관협치 기반조성 추진,자체,시민소통관,301.0,일반보전금,301-11,행사실비지원금,재량,Ο행사운영 급식비,"9,000원*170명","1,530",0,"1,530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,530",0,"1,530",0,0,0,0,0,0,1530,0,1530,0,0,0,0,0,0,1530,1530000.0,0.0153,0.0,0.0153
2026,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100.0,일반회계,기본경비(시민소통관),자체,시민소통관,201.0,일반운영비,201-01,사무관리비,법정의무,Ο일반수용비,"60,000원*10명*12월*90%","6,480",0,"6,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,480",0,"6,480",0,0,0,0,0,0,6480,0,6480,0,0,0,0,0,0,6480,6480000.0,0.0648,0.0,0.0648
2026,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100.0,일반회계,기본경비(시민소통관),자체,시민소통관,201.0,일반운영비,201-01,사무관리비,법정의무,Ο급식비,"9,000원*10명*6일*12월","6,480",0,"6,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,480",0,"6,480",0,0,0,0,0,0,6480,0,6480,0,0,0,0,0,0,6480,6480000.0,0.0648,0.0,0.0648
2026,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100.0,일반회계,기본경비(시민소통관),자체,시민소통관,201.0,일반운영비,201-01,사무관리비,-,Ο행정장비 운영,-,"7,800",0,"7,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,800",0,"7,800",0,0,0,0,0,0,7800,0,7800,0,0,0,0,0,0,7800,7800000.0,0.078,0.0,0.078
2026,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100.0,일반회계,기본경비(시민소통관),자체,시민소통관,201.0,일반운영비,201-01,사무관리비,법정의무,ο소모품,"300,000원*4대*4회","4,800",0,"4,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,800",0,"4,800",0,0,0,0,0,0,4800,0,4800,0,0,0,0,0,0,4800,4800000.0,0.048,0.0,0.048
2026,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100.0,일반회계,기본경비(시민소통관),자체,시민소통관,201.0,일반운영비,201-01,사무관리비,법정의무,ο장비유지,"3,000,000원","3,000",0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",0,"3,000",0,0,0,0,0,0,3000,0,3000,0,0,0,0,0,0,3000,3000000.0,0.03,0.0,0.03
