회계연도,예산구분,분야명,부문명,위원회명,정책사업명,단위사업명,회계코드,회계명,세부사업명,자체보조구분명,부서명,편성목,편성목명,통계목,통계목명,의무/재량구분,산출근거명,산출근거식,예산액,기정액,비교증감,국고보조금,,,균특보조금,,,기금보조금,,,특별교부세,,,분권교부세,,,광역보조금,,,재정보전금,,,특별조정교부금,,,자체재원,,,지방채,,,기타,,
,,,,,,,,,,,,,,,,,,,,,,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감,경정,기정,증감
2024,본예산,일반공공행정,일반행정,자치행정위원회,시민소통강화,시민소통활성화 및 조정 추진,100,일반회계,민관협치 기반조성 추진,자체,시민소통관,301,일반보전금,301-11,행사실비지원금,재량,Ο행사운영 급식비,"8,000원*200명","1,600",0,"1,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,600",0,"1,600",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100,일반회계,기본경비(시민소통관),자체,시민소통관,201,일반운영비,201-01,사무관리비,법정의무,Ο일반수용비,"60,000원*9명*12월","6,480",0,"6,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,480",0,"6,480",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100,일반회계,기본경비(시민소통관),자체,시민소통관,201,일반운영비,201-01,사무관리비,법정의무,Ο급량비,"8,000원*9명*6일*12월","5,184",0,"5,184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,184",0,"5,184",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100,일반회계,기본경비(시민소통관),자체,시민소통관,201,일반운영비,201-01,사무관리비,,Ο행정장비 운영,,"7,800",0,"7,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,800",0,"7,800",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100,일반회계,기본경비(시민소통관),자체,시민소통관,201,일반운영비,201-01,사무관리비,법정의무,  ο소모품,"300,000원*4대*4회","4,800",0,"4,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,800",0,"4,800",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100,일반회계,기본경비(시민소통관),자체,시민소통관,201,일반운영비,201-01,사무관리비,법정의무,  ο장비유지,"3,000,000원","3,000",0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",0,"3,000",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100,일반회계,기본경비(시민소통관),자체,시민소통관,201,일반운영비,201-01,사무관리비,법정의무,Ο홍보물 및 일간지 구독료,"90,000원*12월","1,080",0,"1,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,080",0,"1,080",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100,일반회계,기본경비(시민소통관),자체,시민소통관,202,여비,202-01,국내여비,법정의무,Ο기본업무추진,"10,000원*9명*5일*12월","5,400",0,"5,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,400",0,"5,400",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100,일반회계,기본경비(시민소통관),자체,시민소통관,203,업무추진비,203-04,부서운영업무추진비,법정의무,Ο15인 이하,"250,000원*12월","3,000",0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",0,"3,000",0,0,0,0,0,0
2024,본예산,기타,기타,자치행정위원회,행정운영경비(시민소통관),기본경비(시민소통관),100,일반회계,기본경비(시민소통관),자체,시민소통관,204,직무수행경비,204-01,직책급업무수행경비,법정의무,Ο5급,"100,000원*1명*12월","1,200",0,"1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200",0,"1,200",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,자체감사 실시,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο감사 모범공무원 연찬 차량임차료,"400,000원*3일","1,200",0,"1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200",0,"1,200",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,자체감사 실시,자체,감사관,202,여비,202-01,국내여비,재량,Ο감사 모범공무원 국내 연찬,"500,000원*12명","6,000",0,"6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000",0,"6,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,자체감사 실시,자체,감사관,203,업무추진비,203-03,시책추진업무추진비,법정의무,Ο감사활동수행 업무추진,"5,580,000원","5,580",0,"5,580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,580",0,"5,580",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,자체감사 실시,자체,감사관,204,직무수행경비,204-02,특정업무경비,법정의무,Ο감사담당,"80,000원*31명*12월","29,760",0,"29,760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,760",0,"29,760",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,자체감사 실시,자체,감사관,301,일반보전금,301-14,기타보상금,재량,Ο청렴시민감사관 참여수당,"100,000원*5명*20회","10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000",0,"10,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,공직자 재산등록,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο공직자윤리위원회 참여수당,"100,000원*5명*4회","2,000",0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,"2,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,공직자 재산등록,자체,감사관,201,일반운영비,201-01,사무관리비,,Ο공직자재산등록 금융거래 수수료 및 통신비,,600,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,공직자 재산등록,자체,감사관,201,일반운영비,201-01,사무관리비,재량,  ο공직자재산등록 금융거래 수수료,"2,000원*270명",540,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,540,0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,공직자 재산등록,자체,감사관,201,일반운영비,201-01,사무관리비,재량,  ο공직자재산등록 통신비,"30원*2,000명",60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,공직자 재산등록,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο연차보고서 및 홍보물 제작,"2,000,000원","2,000",0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,"2,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,효율적인 계약심사 추진,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο물가정보지 등 구입,"333,000원*4종","1,332",0,"1,332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,332",0,"1,332",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,효율적인 계약심사 추진,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο표준품셈 구입,"66,250원*4종",265,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,265,0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,효율적인 계약심사 추진,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο계약심사 자문수당,"100,000원*3명*5회","1,500",0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,"1,500",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,내부통제기능 강화,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο헬프라인(Help-Line) 시스템 유지보수,"1,100,000원*4분기","4,400",0,"4,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,400",0,"4,400",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,내부통제기능 강화,자체,감사관,308,자치단체등이전,308-13,공기관등에대한경상적위탁사업비,재량,Ο청백-e시스템 유지관리,"16,462,000원","16,462",0,"16,462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,462",0,"16,462",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,옴부즈만 지원,자체,감사관,201,일반운영비,201-01,사무관리비,법정의무,Ο옴부즈만 회의 참석수당,"100,000원*7명*6회","4,200",0,"4,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,200",0,"4,200",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,옴부즈만 지원,자체,감사관,201,일반운영비,201-01,사무관리비,법정의무,Ο옴부즈만 안건 심사수당,"70,000원*7명*3회","1,470",0,"1,470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,470",0,"1,470",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,옴부즈만 지원,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο운영상황 보고서 및 홍보물 제작,"1,000,000원","1,000",0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,"1,000",0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,옴부즈만 지원,자체,감사관,301,일반보전금,301-11,행사실비지원금,재량,Ο옴부즈만 행사 등 참석,"144,000원*5명",720,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,720,0,0,0,0,0,0
2024,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100,일반회계,청렴시책추진,자체,감사관,201,일반운영비,201-01,사무관리비,재량,Ο청렴교육 강사수당 등,"370,000원*10회","3,700",0,"3,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,700",0,"3,700",0,0,0,0,0,0
